Name,Location,Tag,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Riverside Park,2820 S 8th St,Park,"Sunday, 6AM–12AM","Monday, 6AM–12AM","Tuesday, 6AM–12AM","Wednesday, 6AM–12AM","Thursday, 6AM–12AM","Friday, 6AM–12AM","Saturday, 6AM–12AM"
Annie Young Meadow,2901 W River Pkwy,Park,"Sunday, 7AM–10PM","Monday, 7AM–10PM","Tuesday, 7AM–10PM","Wednesday, 7AM–10PM","Thursday, 7AM–10PM","Friday, 7AM–10PM","Saturday, 7AM–10PM"
Town Hall Brewery,1430 S Washington Ave,Brewpub,"Sunday, 12–10PM","Monday, 12–10PM","Tuesday, 12–10PM","Wednesday, 12–10PM","Thursday, 12–10PM","Friday, 12–10PM","Saturday, 12–10PM"
Urban Jungle,1419 S Washington Ave,Vintage Clothing Store,"Sunday, 12–6PM","Monday, 12–7PM","Tuesday, 12–7PM","Wednesday, 12–7PM","Thursday, 12–7PM","Friday, 12–7PM","Saturday, 12–7PM"
Jewel of India (Lunch),1427 S Washington Ave,Indian Restaurant,"Sunday, 12–3PM","Monday, 12–3PM","Tuesday, 12–3PM","Wednesday, 12–3PM","Thursday, 12–3PM","Friday, 12–3PM","Saturday, 12–3PM"
Jewel of India (Dinner),1427 S Washington Ave,Indian Restaurant,"Sunday, 5–9:30PM","Monday, 5–10PM","Tuesday, 5–10PM","Wednesday, 5–10PM","Thursday, 5–10PM","Friday, 5–10PM","Saturday, 5–10PM"
Bullwinkle's Saloon,1429 S Washington Ave,Bar,"Sunday, 3:30PM–2AM","Monday, 3:30PM–2AM","Tuesday, 3:30PM–2AM","Wednesday, 3:30PM–2AM","Thursday, 3:30PM–2AM","Friday, 3:30PM–2AM","Saturday, 3:30PM–2AM"
The Corner Bar,1501 S Washington Ave,Restaurant,"Sunday, 10AM–12AM","Monday, 3PM–12AM","Tuesday, 3PM–12AM","Wednesday, 3PM–12AM","Thursday, 3PM–12AM","Friday, 3PM–12AM","Saturday, 3PM–12AM"
Chipotle Mexican Grill,229 Cedar Ave S,Mexican Restaurant,"Sunday, 10:45AM–10PM","Monday, 10:45AM–10PM","Tuesday, 10:45AM–10PM","Wednesday, 10:45AM–10PM","Thursday, 10:45AM–10PM","Friday, 10:45AM–10PM","Saturday, 10:45AM–10PM"
Flamin Thai Cuisine and Sushi,233 Cedar Ave,Thai Restaurant,"Sunday, 11AM–8:30PM","Monday, 11AM–8:30PM","Tuesday, 11AM–8:30PM","Wednesday, 11AM–8:30PM","Thursday, 11AM–8:30PM","Friday, 11AM–9PM","Saturday, 11AM–9PM"
7 Corners Coffee - Minneapolis,1851 S Washington Ave,Coffee Shop,"Sunday, 7AM–5PM","Monday, 7AM–5PM","Tuesday, 7AM–5PM","Wednesday, 7AM–5PM","Thursday, 7AM–5PM","Friday, 7AM–5PM","Saturday, 7AM–5PM"
Acadia,329 Cedar Ave,Bar & Grill,"Sunday, 11AM–12AM","Monday, 11AM–12AM","Tuesday, 11AM–12AM","Wednesday, 11AM–12AM","Thursday, 11AM–12AM","Friday, 11AM–1AM","Saturday, 11AM–1AM"
Thrifty Outfitters,309 Cedar Ave,Outdoor Sports Store,"Sunday, 11AM–5PM","Monday, 10AM–8PM","Tuesday, 10AM–8PM","Wednesday, 10AM–8PM","Thursday, 10AM–8PM","Friday, 10AM–8PM","Saturday, 10AM–6PM"
Midwest Mountaineering,309 Cedar Ave,Outdoor Sports Store,"Sunday, 12–5PM","Monday, 11AM–7PM","Tuesday, 11AM–7PM","Wednesday, 11AM–7PM","Thursday, 11AM–7PM","Friday, 11AM–7PM","Saturday, 11AM–5PM"
Mayday Books,301 Cedar Ave,Book Store,"Sunday, Closed","Monday, 1–5PM","Tuesday, 1–5PM","Wednesday, 1–5PM","Thursday, 1–5PM","Friday, 1–5PM","Saturday, 1–5PM"
The Red Sea Ethiopian Restaurant,320 Cedar Ave S,Ethiopian Restaurant,"Sunday, 11AM–2AM","Monday, 11AM–2AM","Tuesday, 11AM–2AM","Wednesday, 11AM–2AM","Thursday, 11AM–2AM","Friday, 11AM–2AM","Saturday, 11AM–2AM"
West Bank Diner,324 Cedar Ave,Restaurant,"Sunday, 6AM–10PM","Monday, 6AM–10PM","Tuesday, 6AM–10PM","Wednesday, 6AM–10PM","Thursday, 6AM–10PM","Friday, 6AM–10PM","Saturday, 6AM–10PM"
Keefer Court,326 Cedar Ave,Bakery,"Sunday, 9:30AM–7PM","Monday, Closed","Tuesday, Closed","Wednesday, 9:30AM–7PM","Thursday, 9:30AM–7PM","Friday, 9:30AM–7PM","Saturday, 9:30AM–7PM"
Baarkallah Restaurant Somali Cuisine,308 Cedar Ave #1,East African Restaurant,"Sunday, 6AM–10PM","Monday, 6AM–10PM","Tuesday, 6:30AM–10PM","Wednesday, 6AM–10PM","Thursday, 6:30AM–10PM","Friday, 6AM–10PM","Saturday, 6AM–10PM"
Halal Mini Market,410 Cedar Ave,Convenience Store,"Sunday, 8AM–10PM","Monday, 8AM–10PM","Tuesday, 8AM–10PM","Wednesday, 8AM–10PM","Thursday, 8AM–10PM","Friday, 8AM–10PM","Saturday, 8AM–10PM"
Wienery,414 Cedar Ave S,Hot Dog Restaurant,"Sunday, 11AM–5PM","Monday, Closed","Tuesday, Closed","Wednesday, 11AM–5PM","Thursday, 11AM–5PM","Friday, 11AM–8PM","Saturday, 11AM–8PM"
Palmer's Bar,500 Cedar Ave,Bar,"Sunday, 10AM–2AM","Monday, 10AM–2AM","Tuesday, 10AM–2AM","Wednesday, 10AM–2AM","Thursday, 10AM–2AM","Friday, 10AM–2AM","Saturday, 10AM–2AM"
Currie Park,500 S 15th Ave,Park,"Sunday, 5AM–10PM","Monday, 5AM–10PM","Tuesday, 5AM–10PM","Wednesday, 5AM–10PM","Thursday, 5AM–10PM","Friday, 5AM–10PM","Saturday, 5AM–10PM"
Brian Coyle Neighborhood Center,420 S 15th Ave,Community Center,"Sunday, Closed","Monday, 9AM–7:30PM","Tuesday, 9AM–7:30PM","Wednesday, 9AM–7:30PM","Thursday, 9AM–7:30PM","Friday, 9AM–7:30PM","Saturday, 12:30–5PM"
Riverside Mall,620 16th Ave S,Shopping Mall,"Sunday, 8:50AM–7PM","Monday, 8:50AM–7PM","Tuesday, 8:50AM–7PM","Wednesday, 8:50AM–7PM","Thursday, 8:50AM–7PM","Friday, 8:50AM–7PM","Saturday, 8:50AM–7PM"
Barwaqo African International Mall,620 16th Ave S,Grocery Store,"Sunday, 9AM–8:30PM","Monday, 9AM–8:30PM","Tuesday, 9AM–8:30PM","Wednesday, 9AM–8:30PM","Thursday, 9AM–8:30PM","Friday, 9AM–8:30PM","Saturday, 9AM–8:30PM"
Deeqa Restaurant,620 16th Ave S,Restaurant,"Sunday, 8AM–10PM","Monday, 8AM–10PM","Tuesday, 8AM–10PM","Wednesday, 8AM–10PM","Thursday, 8AM–10PM","Friday, 8AM–10PM","Saturday, 8AM–10PM"
Quba Restaurant & Coffee,1501 S 6th St,Restaurant,"Sunday, 10AM–10PM","Monday, 10AM–10PM","Tuesday, 10AM–10PM","Wednesday, 10AM–10PM","Thursday, 10AM–10PM","Friday, 10AM–10PM","Saturday, 10AM–10PM"
Masjid Darul Quba Cultural Center,1501 S 6th St,Mosque,"Sunday, 4AM–10PM","Monday, 4AM–10PM","Tuesday, 4AM–10PM","Wednesday, 4AM–10PM","Thursday, 4AM–10PM","Friday, 4AM–10PM","Saturday, 4AM–8PM"
House of Balls,1504 7th St S,Art Gallery,"Sunday, Closed","Monday, 12–4PM","Tuesday, 12–4PM","Wednesday, 12–4PM","Thursday, 12–4PM","Friday, 12–4PM","Saturday, 12–4PM"
Sagal Restaurant And Coffee,411 Cedar Ave,East African Restaurant,"Sunday, 6AM–11PM","Monday, 6AM–11PM","Tuesday, 6AM–11PM","Wednesday, 6AM–11PM","Thursday, 6AM–11PM","Friday, 6AM–11PM","Saturday, 6AM–11PM"
West Bank Grocery,417 Cedar Ave,Grocery Store,"Sunday, 9AM–11:45PM","Monday, 9AM–11:45PM","Tuesday, 9AM–11:45PM","Wednesday, 9AM–11:45PM","Thursday, 9AM–11:45PM","Friday, 9AM–11:45PM","Saturday, 9AM–11:45PM"
Hard Times Cafe,1821 Riverside Ave,Cafe,"Sunday, 8AM–8PM","Monday, 8AM–8PM","Tuesday, 8AM–8PM","Wednesday, 8AM–8PM","Thursday, 8AM–8PM","Friday, 8AM–8PM","Saturday, 8AM–8PM"
Lucky Dragon Restaurant,1827 Riverside Ave,Chinese Restaurant,"Sunday, Closed","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 11AM–10PM","Saturday, 12–10PM"
Part Wolf MPLS,501 Cedar Ave,Bar,"Sunday, 6–11PM","Monday, 4–10PM","Tuesday, 4–10PM","Wednesday, 4–10PM","Thursday, 4PM–2AM","Friday, 4PM–2AM","Saturday, 4PM–2AM"
Freewheel Bike,1812 S 6th St,Bicycle Shop,"Sunday, 10AM–5PM","Monday, 11AM–7PM","Tuesday, 11AM–7PM","Wednesday, 11AM–7PM","Thursday, 11AM–7PM","Friday, 11AM–7PM","Saturday, 10AM–5PM"
Wadajir Grocery & Halal Meat,525 Cedar Ave,Grocery Store,"Sunday, 9AM–11PM","Monday, 9AM–11PM","Tuesday, 9AM–11PM","Wednesday, 9AM–11PM","Thursday, 9AM–11PM","Friday, 9AM–11PM","Saturday, 9AM–11PM"
Mediterranean Deli,523 Cedar Ave,Mediterranean Restaurant,"Sunday, 10AM–10PM","Monday, 10AM–10PM","Tuesday, 10AM–10PM","Wednesday, 10AM–10PM","Thursday, 10AM–10PM","Friday, 10AM–10PM","Saturday, 10AM–10PM"
Alle Aamin Coffee Shop,609 Cedar Ave,Cafe,"Sunday, 6AM–12AM","Monday, 6AM–12AM","Tuesday, 6AM–12AM","Wednesday, 6AM–12AM","Thursday, 6AM–12AM","Friday, 6AM–12AM","Saturday, 6AM–12AM"
Afrik Grocery,613 Cedar Ave,Grocery Store,"Sunday, 8AM–9:30PM","Monday, 8AM–9:30PM","Tuesday, 8AM–9:30PM","Wednesday, 8AM–9:30PM","Thursday, 8AM–9:30PM","Friday, 8AM–9:30PM","Saturday, 8AM–9:30PM"
Annex by Opitz Riverside,1919 Riverside Ave,Clothing Store,"Sunday, 12–6PM","Monday, Closed","Tuesday, Closed","Wednesday, 12–7PM","Thursday, 12–7PM","Friday, 12–7PM","Saturday, 12–7PM"
Jimmy John's,2037 Riverside Ave,Sandwich Shop,"Sunday, 10:30AM–8PM","Monday, 10:30AM–8PM","Tuesday, 10:30AM–8PM","Wednesday, 10:30AM–8PM","Thursday, 10:30AM–8PM","Friday, 10:30AM–8PM","Saturday, 10:30AM–8PM"
Riverside Stop,2517 Riverside Ave,Gas Station,"Sunday, 7AM–11PM","Monday, 6AM–12AM","Tuesday, 6AM–12AM","Wednesday, 6AM–12AM","Thursday, 6AM–12AM","Friday, 6AM–12AM","Saturday, 6AM–12AM"
